scenario,request_type,responseCode,count
sas_full_flow_high,Authorize,200,1200
sas_full_flow_high,Deregistration,200,1200
sas_full_flow_high,Grant,200,1200
sas_full_flow_high,Registration,200,1200
sas_full_flow_high,Relinquishment,200,1200
sas_full_flow_high,Revoke,200,1200
sas_full_flow_low,Authorize,200,20
sas_full_flow_low,Deregistration,200,20
sas_full_flow_low,Grant,200,20
sas_full_flow_low,Registration,200,20
sas_full_flow_low,Relinquishment,200,20
sas_full_flow_low,Revoke,200,20
sas_full_flow_medium,Authorize,200,200
sas_full_flow_medium,Deregistration,200,200
sas_full_flow_medium,Grant,200,200
sas_full_flow_medium,Registration,200,200
sas_full_flow_medium,Relinquishment,200,200
sas_full_flow_medium,Revoke,200,200
sas_full_flow_stress,Authorize,200,3000
sas_full_flow_stress,Deregistration,200,3000
sas_full_flow_stress,Grant,200,3000
sas_full_flow_stress,Registration,200,3000
sas_full_flow_stress,Relinquishment,200,3000
sas_full_flow_stress,Revoke,200,3000
