scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,57.1,58.62,58.962,59.0,20
Low,Deregistration,1,16.05,16.81,16.981,17.0,20
Low,Grant,1,20.250000000000004,24.049999999999994,24.90500000000001,25.0,20
Low,Registration,1,22.400000000000006,28.47999999999999,29.848000000000013,30.0,20
Low,Relinquishment,1,20.250000000000004,24.049999999999994,24.90500000000001,25.0,20
Low,Revoke,1,17.0,17.0,17.0,17.0,20
Medium,Authorize,1,143.14999999999998,150.66000000000034,209.4660000000007,216.0,100
Medium,Deregistration,1,100.05,120.01,120.90100000000001,121.0,100
Medium,Grant,1,121.1,135.09000000000003,143.1090000000001,144.0,100
Medium,Registration,1,135.49999999999997,149.01,149.901,150.0,100
Medium,Relinquishment,1,103.0,126.0,126.0,126.0,100
Medium,Revoke,1,100.1,118.0,118.0,118.0,100
High,Authorize,1,394.05,632.7099999999984,820.5250000000005,828.0,300
High,Deregistration,1,369.0,679.01,684.1030000000001,685.0,300
High,Grant,1,379.0,677.03,681.701,682.0,300
High,Registration,1,394.05,681.0,682.0,682.0,300
High,Relinquishment,1,375.5000000000001,680.02,684.402,685.0,300
High,Revoke,1,278.05,411.04999999999995,433.02000000000044,439.0,300
Stress,Authorize,1,687.3499999999997,1360.6599999999994,1624.1040000000035,1676.0,500
Stress,Deregistration,1,593.05,676.6399999999994,742.501,743.0,500
Stress,Grant,1,547.9499999999991,671.03,731.501,732.0,500
Stress,Registration,1,616.1499999999999,703.0,740.0,740.0,500
Stress,Relinquishment,1,589.05,735.01,743.0,743.0,500
Stress,Revoke,1,541.3499999999997,672.01,736.5150000000006,744.0,500
Extreme,Authorize,1,1609.2999999999952,6463.09,7411.005,7416.0,1000
Extreme,Deregistration,1,1105.0,1304.029999999999,1485.0020000000002,1487.0,1000
Extreme,Grant,1,1137.0,1223.5099999999995,1483.0020000000002,1485.0,1000
Extreme,Registration,1,1107.6499999999994,1292.05,1408.0760000000068,1484.0,1000
Extreme,Relinquishment,1,1103.05,1220.02,1487.3050000000276,1792.0,1000
Extreme,Revoke,1,1050.0,1220.0,1413.0740000000067,1487.0,1000
